,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Ribeira Grande,27,PT,1584926604,73,38.52,-28.7,52.92,6.93
1,Wattegama,36,LK,1584926605,100,6.8,81.48,73.4,4.7
2,Salinas,90,US,1584926505,67,36.68,-121.66,62.6,10.29
3,Dikson,100,RU,1584926605,99,73.51,80.55,-5.4,11.3
4,Airai,74,TL,1584926606,63,-8.93,125.41,73.62,2.1
5,Ilulissat,0,GL,1584926606,54,69.22,-51.1,-0.4,5.82
6,Vila Franca do Campo,75,PT,1584926365,71,37.72,-25.43,55.4,6.93
7,Vestmannaeyjar,99,IS,1584926607,69,63.44,-20.27,41.76,39.3
8,Punta Arenas,100,CL,1584926607,82,-53.15,-70.92,55.4,10.29
9,Buchanan,76,LR,1584926607,89,5.88,-10.05,78.12,2.71
10,Avera,90,US,1584926607,100,33.19,-82.53,57.2,4.7
11,Saint Paul Harbor,1,US,1584926608,38,57.79,-152.41,42.8,24.16
12,Vaini,75,TO,1584926608,78,-21.2,-175.2,82.4,10.29
13,Blind River,40,CA,1584926608,63,46.18,-82.96,30.2,10.29
14,Amazar,2,RU,1584926608,86,53.86,120.88,18.36,2.13
15,Pangkalanbuun,100,ID,1584926609,96,-2.68,111.62,75.6,2.51
16,Souillac,75,MU,1584926609,94,-20.52,57.52,78.8,9.17
17,Tasiilaq,100,GL,1584926609,92,65.61,-37.64,23.0,8.01
18,Ponta do Sol,75,PT,1584926600,77,32.67,-17.1,59.0,23.04
19,Port Blair,0,IN,1584926610,67,11.67,92.75,81.18,8.32
20,Rikitea,88,PF,1584926610,71,-23.12,-134.97,78.66,1.7
21,Palmer,40,US,1584926610,46,42.16,-72.33,34.0,4.7
22,Saint-Philippe,5,RE,1584926610,73,-21.36,55.77,77.0,8.05
23,Sola,75,VU,1584926611,70,-13.88,167.55,87.8,11.41
24,Bredasdorp,39,ZA,1584926611,87,-34.53,20.04,60.8,3.36
25,Mataura,99,NZ,1584926611,89,-46.19,168.86,46.0,21.0
26,Bellūru,85,IN,1584926612,67,12.99,76.74,73.26,5.08
27,Bluff,100,NZ,1584926612,89,-46.6,168.33,46.0,21.0
28,Kamaishi,75,JP,1584926612,52,39.27,141.88,42.8,10.29
29,North Bend,90,US,1584926612,87,43.41,-124.22,52.0,5.82
30,Sisimiut,44,GL,1584926612,97,66.94,-53.67,3.6,2.1
31,Oranjemund,21,NA,1584926613,94,-28.55,16.43,59.76,9.17
32,Esperance,41,AU,1584926613,88,-33.87,121.9,62.6,10.29
33,Mar del Plata,28,AR,1584926502,82,-38.0,-57.56,73.99,4.7
34,Gamba,99,GA,1584926613,86,-2.65,10.0,79.2,3.94
35,Cape Town,17,ZA,1584926381,82,-33.93,18.42,64.99,8.05
36,Klaksvík,100,FO,1584926614,87,62.23,-6.59,44.6,20.8
37,Vetlanda,7,SE,1584926614,74,57.43,15.08,28.4,4.7
38,Ust-Nera,100,RU,1584926614,99,64.57,143.2,-6.97,5.28
39,East London,66,ZA,1584926614,89,-33.02,27.91,75.24,4.83
40,Henties Bay,0,NA,1584926615,92,-22.12,14.28,62.01,2.8
41,Sindor,31,RU,1584926615,96,62.86,51.89,12.24,5.35
42,Kamskoye Ustye,100,RU,1584926615,62,55.2,49.27,19.4,11.18
43,Nanortalik,48,GL,1584926616,70,60.14,-45.24,24.35,41.27
44,Kavieng,100,PG,1584926616,79,-2.57,150.8,82.44,13.15
45,Yeppoon,20,AU,1584926616,62,-23.13,150.73,84.2,10.29
46,Lompoc,90,US,1584926609,100,34.64,-120.46,57.99,12.75
47,Ushuaia,93,AR,1584926489,61,-54.8,-68.3,50.0,6.15
48,Turukhansk,12,RU,1584926617,94,65.82,87.98,-18.72,11.39
49,Albany,1,US,1584926617,45,42.6,-73.97,33.8,5.82
50,Vondrozo,59,MG,1584926617,96,-22.82,47.28,70.38,2.51
51,Puerto Ayora,20,EC,1584926618,78,-0.74,-90.35,80.6,8.05
52,Hobart,40,AU,1584926367,50,-42.88,147.33,61.0,6.93
53,Chimoré,40,BO,1584926618,75,-16.98,-65.13,77.58,1.21
54,Nalgonda,0,IN,1584926618,90,17.05,79.27,72.41,5.79
55,New Norfolk,40,AU,1584926618,50,-42.78,147.06,61.0,6.93
56,Ahwa,8,IN,1584926619,51,20.75,73.68,70.25,4.97
57,Fort Nelson,75,CA,1584926619,35,58.81,-122.7,41.0,2.24
58,Grindavik,75,IS,1584926619,93,63.84,-22.43,35.6,27.51
59,Busselton,4,AU,1584926619,74,-33.65,115.33,67.01,11.86
60,George Town,20,MY,1584926500,78,5.41,100.34,82.4,2.24
61,Kapaa,75,US,1584926620,74,22.08,-159.32,80.6,13.87
62,Minggang,85,CN,1584926620,63,32.46,114.05,55.85,2.33
63,Aitape,100,PG,1584926584,76,-3.14,142.35,81.9,5.26
64,Varna,90,BG,1584926621,86,43.22,27.92,39.2,6.93
65,Najrān,0,SA,1584926621,48,17.49,44.13,66.2,1.45
66,Kaka,100,TM,1584926621,90,37.35,59.61,51.3,3.51
67,Pufeşti,84,RO,1584926621,100,46.0,27.2,30.2,11.41
68,Bengkulu,100,ID,1584926622,93,-3.8,102.27,72.59,3.49
69,Fujin,11,CN,1584926622,56,47.26,132.03,29.52,14.88
70,Padang,100,ID,1584926622,94,-0.95,100.35,69.71,3.0
71,Beloha,53,MG,1584926622,82,-25.17,45.05,72.23,8.57
72,Port-Cartier,5,CA,1584926623,47,50.03,-66.87,17.01,8.05
73,Laas,0,IT,1584926623,85,46.62,10.7,30.99,5.82
74,Castro,10,BR,1584926624,81,-24.79,-50.01,62.1,8.08
75,Kruisfontein,91,ZA,1584926624,89,-34.0,24.73,64.08,5.91
76,Abnūb,17,EG,1584926624,44,27.27,31.15,57.2,9.17
77,Alzamay,67,RU,1584926625,64,55.56,98.66,31.5,18.23
78,Keti Bandar,80,PK,1584926625,87,24.14,67.45,71.64,3.15
79,Tyup,54,KG,1584926625,40,42.73,78.36,32.09,4.09
80,Hasaki,75,JP,1584926625,74,35.73,140.83,50.0,16.11
81,Avarua,89,CK,1584926626,70,-21.21,-159.78,84.2,11.41
82,Uyo,100,NG,1584926626,83,5.03,7.93,80.1,1.05
83,Carnarvon,0,AU,1584926621,43,-24.87,113.63,87.8,13.87
84,Lebu,27,CL,1584926627,79,-37.62,-73.65,55.44,7.34
85,Faanui,10,PF,1584926627,66,-16.48,-151.75,83.52,4.5
86,Lüderitz,0,NA,1584926627,72,-26.65,15.16,64.4,16.11
87,Kieta,100,PG,1584926628,72,-6.22,155.63,82.8,3.22
88,Caceres,84,ES,1584926628,94,39.52,-6.37,48.0,1.9
89,Jamestown,90,US,1584926629,32,42.1,-79.24,42.8,9.17
90,Hermanus,51,ZA,1584926629,94,-34.42,19.23,57.0,12.59
91,Lakatoro,65,VU,1584926629,89,-16.1,167.42,86.0,8.05
92,Barrow,1,US,1584926493,70,71.29,-156.79,-0.4,9.17
93,Mineiros,53,BR,1584926629,87,-17.57,-52.55,69.71,1.25
94,Katsuura,75,JP,1584926630,81,35.13,140.3,52.0,17.22
95,Swan River,29,CA,1584926630,84,52.11,-101.27,26.46,12.15
96,Flinders,40,AU,1584926630,49,-34.58,150.86,71.01,10.29
97,Anadyr,97,RU,1584926630,89,64.75,177.48,32.0,8.95
98,Port Alfred,96,ZA,1584926569,97,-33.59,26.89,70.0,11.01
99,Norman Wells,90,CA,1584926631,78,65.28,-126.83,17.6,27.51
100,Beira,20,MZ,1584926631,78,-19.84,34.84,80.6,5.82
101,Puerto Escondido,5,MX,1584926631,74,15.85,-97.07,82.4,4.32
102,Patnāgarh,0,IN,1584926631,57,20.72,83.15,73.8,2.19
103,Linxia Chengguanzhen,16,CN,1584926402,40,35.6,103.21,41.58,5.14
104,Sebrovo,100,RU,1584926632,93,50.1,43.3,28.99,12.55
105,Lázaro Cárdenas,0,MX,1584926480,66,17.96,-102.2,80.64,6.53
106,Arraial do Cabo,23,BR,1584926632,76,-22.97,-42.03,75.96,17.05
107,Hamilton,90,US,1584926430,75,39.18,-84.53,44.01,6.93
108,Tuktoyaktuk,20,CA,1584926633,77,69.45,-133.04,-2.2,17.22
109,Boshnyakovo,100,RU,1584926633,76,49.63,142.17,27.18,13.65
110,Thompson,75,CA,1584926633,87,55.74,-97.86,32.0,6.93
111,Cherskiy,100,RU,1584926680,91,68.75,161.3,12.11,14.58
112,Bereda,90,ES,1584926680,87,43.27,-7.54,55.0,4.7
113,Olinda,20,BR,1584926680,74,-8.01,-34.86,84.2,3.36
114,Carutapera,51,BR,1584926681,74,-1.2,-46.02,81.9,8.84
115,Guiren,91,CN,1584926681,82,33.67,118.19,55.99,6.98
116,Mago,96,RU,1584926681,79,53.25,140.18,20.34,3.24
117,Dondo,20,MZ,1584926683,78,-19.61,34.74,80.6,5.82
118,Butaritari,17,KI,1584926683,77,3.07,172.79,84.06,16.44
119,Cibitoke Province,0,BI,1584926683,94,-2.88,29.25,56.57,1.74
120,Smithers,90,CA,1584926683,85,54.78,-127.17,35.6,3.36
121,Saskylakh,84,RU,1584926684,93,71.92,114.08,-19.98,9.1
122,Massakory,29,TD,1584926684,12,13.0,15.73,85.5,8.57
123,Buritizeiro,91,BR,1584926684,94,-17.35,-44.96,71.69,0.31
124,Kutum,100,SD,1584926684,19,14.2,24.67,63.9,5.5
125,Ostrovnoy,100,RU,1584926684,82,68.05,39.51,23.81,31.63
126,Port Hardy,90,CA,1584926685,86,50.7,-127.42,41.0,11.41
127,Mount Gambier,90,AU,1584926686,62,-37.83,140.77,59.0,10.29
128,Solnechnyy,97,RU,1584926686,67,50.72,136.63,26.64,0.98
129,Scarborough,0,GB,1584926686,100,54.28,-0.4,39.0,2.24
130,Makkah al Mukarramah,0,SA,1584926687,31,21.43,39.83,62.51,2.91
131,Yulara,68,AU,1584926687,21,-25.24,130.99,84.2,24.16
132,Nikolskoye,0,RU,1584926688,62,59.7,30.79,23.0,1.57
133,Rawson,13,AR,1584926427,61,-43.3,-65.1,66.11,17.67
134,Moose Factory,1,CA,1584926689,46,51.26,-80.61,28.4,12.75
135,Tuatapere,100,NZ,1584926689,89,-46.13,167.68,46.0,21.0
136,Kaitangata,99,NZ,1584926689,84,-46.28,169.85,52.56,13.2
137,Kholm-Zhirkovskiy,0,RU,1584926690,57,55.52,33.47,24.53,9.31
138,Nara,20,JP,1584926480,50,34.69,135.8,53.6,4.7
139,Kloulklubed,90,PW,1584926690,70,7.04,134.26,86.0,14.99
140,Cairns,90,AU,1584926503,78,-16.92,145.77,80.6,13.87
141,Rocha,55,UY,1584926691,72,-34.48,-54.33,63.59,5.5
142,Katiola,20,CI,1584926692,78,8.13,-5.1,78.8,11.41
143,Hervey Bay,75,AU,1584926692,65,-25.3,152.85,84.99,10.29
144,Sumenep,44,ID,1584926692,77,-7.02,113.87,81.36,1.48
145,Puka,0,EE,1584926692,79,58.06,26.24,19.99,1.59
146,Porto Empedocle,89,IT,1584926693,86,37.29,13.53,52.0,3.31
147,Srednekolymsk,100,RU,1584926693,82,67.45,153.68,11.03,12.48
148,Mahibadhoo,1,MV,1584926693,65,3.78,72.97,83.16,6.38
149,Bambous Virieux,75,MU,1584926694,94,-20.34,57.76,78.8,9.17
150,Enshi,100,CN,1584926410,90,30.3,109.48,54.77,0.81
151,Shingū,40,JP,1584926695,51,33.73,135.98,59.0,17.22
152,Raudeberg,100,NO,1584926695,86,61.99,5.14,41.0,31.09
153,Mahébourg,75,MU,1584926695,94,-20.41,57.7,78.8,9.17
154,Saint-Augustin,18,CA,1584926696,78,51.23,-58.65,12.29,12.03
155,Atuona,77,PF,1584926697,78,-9.8,-139.03,82.26,11.59
156,Xuchang,5,CN,1584926697,71,34.02,113.82,55.4,4.94
157,Bethel,1,US,1584926697,55,41.37,-73.41,37.4,6.93
158,Amapá,2,BR,1584926697,97,1.0,-52.0,73.26,3.29
159,Atar,0,MR,1584926698,27,20.52,-13.05,60.66,4.14
160,Vyartsilya,0,RU,1584926698,60,62.18,30.69,24.66,7.31
161,Acapulco de Juárez,40,MX,1584926557,74,16.86,-99.89,82.4,6.93
162,Leh,10,IN,1584926699,54,34.17,77.58,5.81,4.41
163,Khvorostyanka,100,RU,1584926699,95,52.61,48.96,26.69,22.39
164,Tulum,40,MX,1584926535,74,20.22,-87.47,79.0,3.36
165,Umm Hājar,88,TD,1584926700,9,13.3,19.7,82.44,5.97
166,Fairbanks,75,US,1584926700,79,64.84,-147.72,19.99,10.29
167,Kungur,0,RU,1584926700,88,57.44,56.96,10.8,3.0
168,Nome,90,US,1584926700,99,64.5,-165.41,28.99,3.36
169,Russell,90,US,1584926701,88,32.35,-85.2,64.4,6.08
170,Morón,14,AR,1584926701,73,-34.65,-58.62,75.99,6.93
171,Adré,98,TD,1584926701,15,13.47,22.2,71.69,7.0
172,Belaya Gora,0,RU,1584926701,75,68.53,146.42,0.54,1.81
173,Cayenne,69,GF,1584926702,94,4.93,-52.33,75.2,5.41
174,Barranca,45,PE,1584926702,85,-10.75,-77.77,74.34,12.35
175,Cam Ranh,20,VN,1584926702,83,11.92,109.16,77.0,3.36
176,Kamenka,100,RU,1584926702,94,51.32,42.77,25.0,11.01
177,Goreloye,83,RU,1584926703,43,52.94,41.5,25.74,15.32
178,Longyearbyen,90,SJ,1584926703,85,78.22,15.64,19.4,29.97
179,Nioro,0,GM,1584926703,31,13.35,-15.75,76.86,12.41
180,Port Elizabeth,90,ZA,1584926704,100,-33.92,25.57,64.4,18.34
181,Qui Nhon,19,VN,1584926511,88,13.77,109.23,71.82,2.89
182,Ploemeur,90,FR,1584926704,87,47.73,-3.43,48.0,4.7
183,Norrtälje,47,SE,1584926705,79,59.76,18.7,33.01,9.17
184,Nemuro,75,JP,1584926705,60,43.32,145.57,39.2,4.7
185,Asău,100,RO,1584926705,100,46.43,26.4,30.2,11.41
186,Dingle,98,PH,1584926706,78,11.0,122.67,79.02,9.69
187,Half Moon Bay,90,US,1584926706,93,37.46,-122.43,63.0,4.29
188,Tazovsky,11,RU,1584926706,90,67.47,78.7,-14.4,8.37
189,Narsaq,22,GL,1584926707,45,60.92,-46.05,23.0,14.99
190,Nuuk,53,GL,1584926548,67,64.18,-51.72,17.6,6.93
191,Wajid,97,SO,1584926707,62,3.81,43.25,77.22,10.89
192,Vila,0,PT,1584926708,87,42.03,-8.16,55.99,8.05
193,Richards Bay,100,ZA,1584926708,82,-28.78,32.04,75.42,17.74
194,Orshanka,0,RU,1584926708,68,56.92,47.89,20.52,8.77
195,Yellowknife,75,CA,1584926563,63,62.46,-114.35,30.2,6.93
196,Shubarshi,99,KZ,1584926708,66,48.59,57.19,35.46,8.5
197,Khatanga,46,RU,1584926709,97,71.97,102.5,-29.65,7.38
198,Pevek,100,RU,1584926709,92,69.7,170.31,11.75,5.57
199,Hobyo,89,SO,1584926710,79,5.35,48.53,81.72,10.69
200,Ileza,0,RU,1584926710,89,61.05,43.9,15.66,3.49
201,Falam,0,MM,1584926463,85,22.92,93.68,50.27,0.69
202,Codrington,78,AU,1584926710,65,-38.27,141.97,57.78,10.8
203,Juan Aldama,48,MX,1584926711,12,24.29,-103.39,83.34,11.05
204,Hambantota,0,LK,1584926711,100,6.12,81.12,73.4,4.7
205,Aksu,9,CN,1584926711,47,41.12,80.26,48.24,6.82
206,Gijang,0,KR,1584926713,32,35.24,129.21,55.4,4.7
207,Taikang,0,CN,1584926713,47,46.83,124.42,34.07,10.2
208,Upernavik,0,GL,1584926714,97,72.79,-56.15,-12.42,4.45
209,Liverpool,0,GB,1584926451,64,53.41,-2.98,39.2,5.82
210,Saint Anthony,90,US,1584926714,74,45.02,-93.22,41.0,10.29
211,Mezen',87,RU,1584926715,86,65.85,44.24,22.68,13.22
212,Bilma,0,NE,1584926715,14,18.69,12.92,78.66,1.72
213,Fichē,94,ET,1584926715,68,9.8,38.73,65.7,4.05
214,Isiolo,82,KE,1584926716,62,0.35,37.58,72.18,2.86
215,Severo-Kuril'sk,81,RU,1584926716,94,50.68,156.12,28.98,8.5
216,Beringovskiy,100,RU,1584926716,90,63.05,179.32,35.1,16.44
217,Santa Cruz,5,MA,1584926716,87,30.42,-9.6,55.4,6.93
218,Kavaratti,0,IN,1584926717,68,10.57,72.64,83.34,9.48
219,Kapit,99,MY,1584926717,98,2.02,112.93,74.34,1.83
220,Rabo de Peixe,75,PT,1584926717,71,37.8,-25.58,55.4,6.93
221,Gushikawa,75,JP,1584926717,78,26.35,127.87,75.2,8.05
222,Vyshkov,36,RU,1584926718,79,52.48,31.69,19.4,8.95
223,Cianorte,0,BR,1584926718,57,-23.66,-52.6,77.0,8.05
224,Qaanaaq,81,GL,1584926719,72,77.48,-69.36,-10.44,3.0
225,Ekibastuz,99,KZ,1584926719,92,51.67,75.37,25.2,2.75
226,Clyde River,75,CA,1584926719,69,70.47,-68.59,-11.2,2.24
227,Port Lincoln,99,AU,1584926720,69,-34.73,135.87,61.38,16.06
228,Prieska,48,ZA,1584926720,55,-29.66,22.75,69.3,13.47
229,Kununurra,95,AU,1584926720,49,-15.77,128.73,89.6,6.93
230,Lagoa,47,PT,1584926720,65,39.05,-27.98,56.21,5.95
231,Kungurtug,81,RU,1584926721,72,50.6,97.52,20.34,1.9
232,Gaoual,41,GN,1584926721,53,11.75,-13.2,74.57,5.26
233,Katangli,100,RU,1584926721,82,51.71,143.23,24.12,6.24
234,Los Llanos de Aridane,75,ES,1584926722,63,28.66,-17.92,60.8,6.93
235,Leningradskiy,100,RU,1584926722,80,69.38,178.42,10.44,11.88
236,Cidreira,10,BR,1584926724,76,-30.18,-50.21,74.52,21.05
237,Taloda,8,IN,1584926725,54,21.57,74.22,70.02,3.69
238,Hof,1,DE,1584926725,62,50.32,11.92,28.0,5.82
239,Vostok,0,RU,1584926725,81,46.49,135.88,23.04,4.59
240,Harper,70,LR,1584926725,94,4.38,-7.72,78.12,4.32
241,Chui,0,UY,1584926726,77,-33.7,-53.46,66.96,7.45
242,Oktyabr'skoye,33,RU,1584926726,45,43.06,44.74,39.6,3.27
243,Egvekinot,100,RU,1584926726,95,66.32,-179.17,17.69,7.94
244,Epe,69,NG,1584926727,88,6.58,3.98,80.87,6.35
245,Hithadhoo,0,MV,1584926727,65,-0.6,73.08,84.24,5.61
246,Vallenar,0,CL,1584926727,88,-28.57,-70.76,56.52,2.39
247,Grand Gaube,75,MU,1584926728,94,-20.01,57.66,78.8,9.17
248,Kidal,37,ML,1584926729,8,18.44,1.41,77.09,8.1
249,Hilo,90,US,1584926729,73,19.73,-155.09,75.2,5.82
250,Kabala,71,SL,1584926729,58,9.58,-11.55,74.7,4.72
251,Gornopravdinsk,50,RU,1584926729,97,60.05,69.9,6.84,4.0
252,Kamina,91,CD,1584926730,96,-8.74,24.99,62.46,1.97
253,Rome,1,US,1584926465,31,43.21,-75.46,35.01,11.41
254,Itarema,54,BR,1584926731,90,-2.92,-39.92,75.96,3.13
255,Magdagachi,0,RU,1584926731,80,53.45,125.8,18.36,4.92
256,Abonnema,40,NG,1584926731,88,4.71,6.79,80.6,3.51
257,Lazarev,100,RU,1584926731,71,52.23,141.51,21.24,2.84
258,Tupik,11,RU,1584926732,88,54.43,119.93,15.84,1.43
259,Touros,20,BR,1584926732,83,-5.2,-35.46,78.8,9.84
260,Poso,100,ID,1584926732,84,-1.4,120.75,71.51,1.66
261,Sitka,20,US,1584926546,42,57.05,-135.33,48.2,11.41
262,Constitución,0,CL,1584926563,89,-35.33,-72.42,53.82,7.76
263,Kānt,23,IN,1584926733,51,27.8,79.8,64.67,3.15
264,Haines Junction,60,CA,1584926733,69,60.75,-137.51,19.62,8.84
265,Saint-Pierre,0,RE,1584926733,73,-21.34,55.48,77.0,8.05
266,Merauke,100,ID,1584926734,80,-8.47,140.33,83.75,5.77
267,Langenhagen,0,DE,1584926734,58,52.45,9.75,33.8,6.93
268,Port Hedland,100,AU,1584926734,66,-20.32,118.57,89.6,10.29
269,Djibo,18,BF,1584926735,17,14.1,-1.63,83.88,9.69
270,Morondava,0,MG,1584926735,94,-20.28,44.28,72.9,3.56
271,Portree,100,GB,1584926735,72,57.41,-6.19,44.01,18.01
272,Biltine,65,TD,1584926735,14,14.53,20.92,76.68,5.59
273,Dudinka,3,RU,1584926735,75,69.41,86.18,-20.2,6.71
274,Ambon City,40,ID,1584926454,78,-3.7,128.18,82.4,3.36
275,Arlit,56,NE,1584926736,10,18.74,7.39,82.31,6.35
276,Ponta Delgada,75,PT,1584926736,71,37.73,-25.67,55.4,6.93
277,Vancouver,1,CA,1584926627,76,49.25,-123.12,51.01,9.17
278,Effingham County,90,US,1584926736,82,32.37,-81.33,62.6,10.29
279,Suleja,62,NG,1584926737,83,9.18,7.18,80.6,4.7
280,Faya,20,SA,1584926737,82,18.39,42.45,57.2,4.7
281,Skellefteå,82,SE,1584926737,79,64.75,20.95,33.01,6.93
282,Presidencia Roque Sáenz Peña,0,AR,1584926738,47,-26.79,-60.44,70.92,4.34
283,Hofn,100,IS,1584926738,70,64.25,-15.21,43.2,33.13
