,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
284,Portland,75,US,1584926591,33,45.52,-122.68,63.0,11.41
285,Sabang,38,ID,1584926739,67,5.89,95.32,83.52,9.71
286,Lorengau,100,PG,1584926740,71,-2.02,147.27,84.6,6.26
287,Pirovskoye,100,RU,1584926740,85,57.63,92.27,15.35,18.5
288,Yongchang,89,CN,1584926741,54,30.04,119.73,57.99,5.26
289,Marsh Harbour,0,BS,1584926741,76,26.54,-77.06,73.67,10.27
290,São Filipe,73,CV,1584926741,79,14.9,-24.5,69.12,18.54
291,Binga,96,ZW,1584926741,75,-17.62,27.34,74.03,1.66
292,Coihueco,0,CL,1584926742,62,-36.62,-71.83,59.0,5.82
293,Bud,90,US,1584926743,86,39.45,-86.18,39.99,9.17
294,Khovd,100,MN,1584926684,45,48.01,91.64,30.96,10.04
295,Barletta,100,IT,1584926744,71,41.31,16.29,55.4,9.17
296,Miraflores,40,MX,1584926744,20,19.22,-98.81,86.0,14.99
297,Wilmington,90,US,1584926550,66,34.23,-77.94,54.0,10.29
298,Ulladulla,40,AU,1584926745,49,-35.35,150.47,68.0,10.29
299,Mayo,75,US,1584926745,75,38.89,-76.51,46.4,12.75
300,Porto-Novo,20,BJ,1584926745,94,6.5,2.6,80.6,6.93
301,Bijie,75,CN,1584926745,84,27.31,105.29,55.44,1.57
302,Ugoofaaru,10,MV,1584926745,68,5.67,73.0,82.85,5.91
303,Lima,27,PE,1584926618,73,-12.04,-77.03,75.2,12.75
304,Teya,100,RU,1584926746,85,60.38,92.63,5.94,13.0
305,Ürümqi,100,CN,1584926746,61,43.8,87.6,48.2,2.24
306,San Cristobal,40,VE,1584926705,54,7.77,-72.22,82.4,3.36
307,Mildura,31,AU,1584926747,44,-34.2,142.15,64.99,12.75
308,Atambua,62,ID,1584926747,76,-9.11,124.89,78.89,0.67
309,Almaşu,90,RO,1584926747,92,46.95,23.13,28.4,6.93
310,La Ronge,75,CA,1584926747,50,55.1,-105.28,33.8,11.41
311,Puri,20,IN,1584926747,94,19.8,85.85,69.8,0.25
312,Hong Kong,20,HK,1584926666,83,22.29,114.16,78.01,3.36
313,Bozoum,4,CF,1584926748,71,6.32,16.38,71.1,4.54
314,San Buenaventura,2,MX,1584926748,51,27.08,-101.53,73.8,11.25
315,Inhambane,69,MZ,1584926749,83,-23.86,35.38,77.94,9.73
316,Xichang,32,CN,1584926749,89,27.9,102.26,40.14,2.48
317,San Patricio,20,MX,1584926749,78,19.22,-104.7,82.4,9.17
318,Boa Vista,75,BR,1584926750,43,2.82,-60.67,89.6,11.41
319,Mogadishu,2,SO,1584926750,77,2.04,45.34,82.62,11.9
320,Flin Flon,71,CA,1584926750,82,54.77,-101.86,30.06,7.02
321,Manggar,89,ID,1584926751,77,-2.88,108.27,81.95,6.11
322,Vestmanna,100,FO,1584926751,87,62.16,-7.17,44.6,20.8
323,Seoul,1,KR,1584926752,53,37.57,126.98,53.6,3.36
324,Maturin,18,VE,1584926752,57,9.75,-63.18,79.43,9.8
325,Vilhena,25,BR,1584926752,86,-12.74,-60.15,72.0,2.1
326,Tateyama,75,JP,1584926752,66,34.98,139.87,55.4,17.22
327,Sarkand,98,KZ,1584926752,95,45.41,79.92,37.08,3.18
328,Dunmore Town,0,BS,1584926753,78,25.5,-76.65,73.85,10.65
329,Pedasí,4,PA,1584926584,75,7.53,-80.03,79.38,13.15
330,Halifax,5,CA,1584926498,44,44.65,-63.57,23.0,6.93
331,Nuristan,95,AF,1584926753,73,35.3,70.83,11.16,3.76
332,Chicama,78,PE,1584926754,61,-7.84,-79.15,74.52,6.08
333,Cabo San Lucas,5,MX,1584926754,60,22.89,-109.91,73.99,9.17
334,Coxim,96,BR,1584926472,92,-18.51,-54.76,75.42,4.7
335,Geraldton,0,AU,1584926754,45,-28.77,114.6,82.99,23.04
336,Isangel,75,VU,1584926754,74,-19.55,169.27,84.2,11.41
337,Talnakh,12,RU,1584926756,75,69.49,88.4,-20.2,6.71
338,Maniitsoq,6,GL,1584926756,71,65.42,-52.9,14.04,11.41
339,San Ignacio Río Muerto,20,MX,1584926757,38,27.42,-110.23,75.2,6.93
340,Jinchang,80,CN,1584926757,53,38.5,102.17,38.88,10.89
341,Auki,82,SB,1584926757,70,-8.77,160.7,84.47,1.36
342,Taoudenni,5,ML,1584926757,15,22.68,-3.98,69.12,10.89
343,Tiksi,9,RU,1584926758,80,71.69,128.87,-6.12,10.27
344,Novo Selo,100,MK,1584926758,79,41.41,22.88,53.01,5.99
345,Pizhanka,0,RU,1584926758,87,57.46,48.54,13.32,5.37
346,Saint-Joseph,0,RE,1584926759,73,-21.37,55.62,77.0,8.05
347,Andenes,100,NO,1584926759,67,69.31,16.12,37.4,23.04
348,Nicolás Bravo,0,MX,1584926465,59,18.45,-88.92,80.28,6.13
349,Talcahuano,40,CL,1584926760,82,-36.72,-73.12,57.2,5.82
350,Camacha,40,PT,1584926760,77,33.08,-16.33,59.0,20.8
351,Ţahţā,17,EG,1584926760,33,26.77,31.5,57.2,4.7
352,Port Augusta,99,AU,1584926761,42,-32.5,137.77,68.0,12.75
353,Maningrida,60,AU,1584926761,71,-12.07,134.27,81.05,8.84
354,Panlaitan,70,PH,1584926586,72,12.12,119.85,82.08,4.99
355,Coruripe,33,BR,1584926762,80,-10.13,-36.18,82.62,11.1
356,Kuytun,100,RU,1584926762,96,54.34,101.5,31.14,1.61
357,Iqaluit,90,CA,1584926563,72,63.75,-68.51,14.0,14.99
358,Gazli,96,UZ,1584926763,40,40.13,63.45,50.94,22.95
359,Salalah,75,OM,1584926763,100,17.02,54.09,78.8,6.93
360,Coquimbo,0,CL,1584926664,87,-29.95,-71.34,60.8,4.7
361,Laguna,1,US,1584926763,35,38.42,-121.42,72.0,1.99
362,Waddān,0,LY,1584926764,30,29.16,16.14,66.96,6.6
363,Lerwick,100,GB,1584926765,87,60.15,-1.15,42.8,27.51
364,Beyneu,38,KZ,1584926766,68,45.32,55.2,40.14,11.83
365,Waipawa,100,NZ,1584926766,63,-41.41,175.52,66.2,20.8
366,Burhānpur,0,IN,1584926766,40,21.3,76.23,72.05,6.69
367,Nhulunbuy,75,AU,1584926717,70,-12.23,136.77,84.2,11.41
368,Karasjok,100,NO,1584926768,69,69.47,25.51,33.8,38.03
369,Gladstone,40,AU,1584926768,54,-23.85,151.25,82.4,10.29
370,Dunedin,94,NZ,1584926608,89,-45.87,170.5,55.0,11.99
371,Tubinskiy,90,RU,1584926768,100,52.89,58.22,21.2,11.18
372,Kandrian,100,PG,1584926769,71,-6.22,149.55,85.14,2.13
373,Iralaya,20,HN,1584926769,78,15.0,-83.23,80.6,5.82
374,Piaçabuçu,66,BR,1584926769,82,-10.41,-36.43,81.72,8.16
375,Zyryanka,100,RU,1584926770,80,65.75,150.85,14.04,13.62
376,Samarai,94,PG,1584926770,62,-10.62,150.67,86.94,3.56
377,Mocuba,61,MZ,1584926771,94,-16.84,36.99,67.5,2.71
378,Santa Rosalía,100,MX,1584926771,32,27.32,-112.28,70.07,2.64
379,Araouane,29,ML,1584926771,13,18.9,-3.53,72.72,7.05
380,Alofi,72,NU,1584926772,74,-19.06,-169.92,84.2,6.93
381,Chokurdakh,74,RU,1584926772,73,70.63,147.92,0.36,2.13
382,Balkhash,62,KZ,1584926772,65,46.84,74.98,28.98,12.82
383,Tsuruoka,75,JP,1584926772,49,38.72,139.82,46.4,14.99
384,Bridlington,0,GB,1584926773,86,54.08,-0.19,39.0,9.17
385,Tezu,100,IN,1584926773,53,27.92,96.17,63.54,2.68
386,Omboué,91,GA,1584926773,94,-1.57,9.26,76.19,2.75
387,Nisko,20,PL,1584926773,73,50.52,22.14,27.0,11.41
388,Darhan,0,MN,1584926774,50,49.49,105.92,33.53,6.02
389,Kichera,100,RU,1584926774,87,55.94,110.1,25.07,0.2
390,Borogontsy,0,RU,1584926774,79,62.67,131.17,-0.13,2.71
391,Ayan,13,RU,1584926774,74,56.45,138.17,19.49,9.15
392,Vardø,76,NO,1584926774,73,70.37,31.11,32.94,28.19
393,Lavrentiya,92,RU,1584926775,93,65.58,-171.0,32.4,8.41
394,Vanderhoof,100,CA,1584926775,96,54.02,-124.02,35.28,6.15
395,Maroua,93,CM,1584926775,13,10.59,14.32,86.27,3.85
396,Panjakent,20,TJ,1584926775,71,39.5,67.61,51.8,11.41
397,Guerrero Negro,79,MX,1584926776,52,27.98,-114.06,66.47,12.97
398,Alice Springs,17,AU,1584926727,20,-23.7,133.88,84.2,17.22
399,Del Rio,1,US,1584926776,64,29.36,-100.9,69.8,3.36
400,Naze,75,JP,1584926776,68,28.37,129.48,71.6,11.41
401,Tanout,5,NE,1584926777,14,14.97,8.89,80.28,4.43
402,Le Port,20,RE,1584926777,73,-20.94,55.29,77.0,4.7
403,Corumbá,69,BR,1584926777,91,-19.01,-57.65,76.32,1.28
404,Fare,14,PF,1584926584,65,-16.7,-151.02,83.88,5.77
405,Igarka,2,RU,1584926778,93,67.47,86.58,-18.72,15.1
406,Kayerkan,66,RU,1584926779,75,69.35,87.76,-20.2,6.71
407,Djibouti,40,DJ,1584926779,78,11.5,42.5,82.4,4.76
408,Ziro,97,IN,1584926779,77,27.63,93.83,52.2,3.15
409,Provideniya,90,RU,1584926780,98,64.38,-173.3,33.8,20.13
410,Huarmey,48,PE,1584926780,59,-10.07,-78.15,73.08,2.46
411,Kananga,83,CD,1584926781,98,-5.9,22.42,68.04,2.04
412,Antsohihy,26,MG,1584926781,73,-14.88,47.99,73.13,7.67
413,Deming,1,US,1584926781,25,32.27,-107.76,64.4,11.41
414,Gomel,39,BY,1584926781,79,52.43,30.98,19.4,8.95
415,Chilliwack,1,CA,1584926614,75,49.17,-121.94,51.8,8.05
416,Mehamn,84,NO,1584926782,69,71.04,27.85,33.66,29.33
417,Torbay,90,CA,1584926782,79,47.67,-52.73,23.0,11.41
418,Labytnangi,0,RU,1584926783,90,66.66,66.42,0.18,6.46
419,Bandarbeyla,3,SO,1584926783,82,9.49,50.81,81.95,6.78
420,São José dos Pinhais,45,BR,1584926784,100,-25.53,-49.21,62.6,6.93
421,Kahului,40,US,1584926784,65,20.89,-156.47,78.8,20.8
422,Paducah,90,US,1584926784,75,37.08,-88.6,48.2,1.32
423,Vanavara,100,RU,1584926784,87,60.34,102.28,28.85,18.99
424,Paranaíba,25,BR,1584926785,90,-19.68,-51.19,72.72,3.38
425,Loreto,47,MX,1584926785,29,22.27,-101.97,76.73,7.4
426,Léo,66,BF,1584926785,21,11.1,-2.1,89.51,4.7
427,Olafsvik,88,IS,1584926786,89,64.89,-23.71,35.46,20.76
428,Fairview,1,US,1584926786,51,40.81,-74.0,39.2,8.05
429,Lagunas,98,PE,1584926786,79,-5.23,-75.68,77.58,2.3
430,Karligan,73,PH,1584926787,72,14.97,122.05,80.87,6.62
431,Mayor Pablo Lagerenza,32,PY,1584926787,63,-19.93,-60.77,81.54,4.38
432,Dukat,100,RU,1584926787,95,62.55,155.55,15.35,6.35
433,Dumas,1,US,1584926787,25,35.87,-101.97,68.0,10.29
434,Broome,1,US,1584926787,40,42.25,-75.83,37.0,12.75
435,Makakilo City,90,US,1584926791,61,21.35,-158.09,80.6,10.29
436,Pacifica,90,US,1584926699,93,37.61,-122.49,64.4,4.29
437,Gushi,1,CN,1584926793,49,34.64,109.58,55.49,3.51
438,Sur,96,OM,1584926793,79,22.57,59.53,75.11,19.44
439,Gigmoto,68,PH,1584926793,75,13.78,124.39,80.69,12.5
440,Sarangani,35,PH,1584926585,70,5.4,125.46,81.36,5.53
441,Soe,70,ID,1584926794,63,-9.86,124.28,80.82,1.16
442,Kiryat Gat,18,IL,1584926772,87,31.61,34.76,50.0,3.36
443,Nelson Bay,75,AU,1584926795,60,-32.72,152.15,73.4,16.11
444,Gao,33,ML,1584926795,10,16.64,1.64,82.26,10.42
445,Keuruu,39,FI,1584926795,73,62.27,24.7,28.0,6.93
446,Mossamedes,100,AO,1584926795,85,-15.2,12.15,73.26,2.37
447,Port Macquarie,75,AU,1584926683,94,-31.43,152.92,71.01,4.7
448,Ingham,90,US,1584926796,59,42.6,-84.38,36.0,10.29
449,Gimli,87,CA,1584926796,93,50.63,-96.99,28.0,4.0
450,Mongo,85,TD,1584926800,11,12.18,18.69,74.88,2.93
451,Ancud,90,CL,1584926800,82,-41.87,-73.82,55.4,9.17
452,Merrill,90,US,1584926801,83,45.18,-89.68,33.01,4.7
453,Ambilobe,17,MG,1584926801,88,-13.2,49.05,72.9,7.34
454,Linares,0,CL,1584926545,81,-35.85,-71.6,54.0,0.72
455,Upata,16,VE,1584926801,72,8.01,-62.4,75.6,7.94
456,Necochea,18,AR,1584926802,63,-38.55,-58.74,69.01,8.99
457,Aktau,34,KZ,1584926802,51,43.65,51.2,39.2,11.18
458,Bojnourd,90,IR,1584926803,93,37.47,57.33,41.0,4.7
459,Yendi,100,GH,1584926804,58,9.44,-0.01,81.9,6.35
460,Víctor Rosales,40,MX,1584926807,19,22.95,-102.7,78.8,17.22
461,Te Anau,100,NZ,1584926807,84,-45.42,167.72,46.08,12.44
462,Berea,90,US,1584926808,75,41.37,-81.85,43.0,12.75
463,Morros,76,BR,1584926810,81,-9.45,-46.3,74.75,2.71
464,Belyy Yar,0,RU,1584926811,69,53.6,91.39,32.0,8.95
465,Storforshei,100,NO,1584926811,92,66.4,14.52,35.01,3.4
466,Bilibino,100,RU,1584926812,91,68.05,166.44,7.79,3.87
467,Iranshahr,75,IR,1584926693,88,27.2,60.68,64.4,9.17
468,Philadelphia,90,US,1584926811,64,39.95,-75.16,39.99,13.87
469,Saint-Honoré,5,CA,1584926814,65,48.53,-71.08,10.0,5.82
470,Gizo Government Station,91,SB,1584926814,79,-8.1,156.84,82.8,5.73
471,Pangnirtung,100,CA,1584926814,92,66.15,-65.71,-9.72,4.5
472,Eyl,1,SO,1584926814,80,7.98,49.82,82.31,8.1
473,Zhangjiakou,0,CN,1584926814,33,40.81,114.88,38.34,4.59
474,Antalaha,27,MG,1584926815,74,-14.9,50.28,80.82,16.71
475,Alta Gracia,0,AR,1584926815,82,-31.65,-64.43,73.99,8.05
476,Ila,91,NO,1584926818,48,63.43,10.37,42.01,18.34
477,Omsukchan,99,RU,1584926821,92,62.53,155.8,16.43,8.34
478,San Andrés,20,CO,1584926821,69,12.58,-81.7,82.4,14.99
479,Nadvoitsy,19,RU,1584926821,78,63.87,34.32,20.57,10.36
480,Conde,20,BR,1584926822,88,-7.26,-34.91,78.8,3.36
481,Alekseyevsk,100,RU,1584926822,96,57.84,108.35,34.74,13.91
482,Canberra,45,AU,1584926593,51,-35.28,149.13,64.99,4.7
483,Chapais,1,CA,1584926823,66,49.78,-74.85,10.4,5.82
484,Shimoda,75,JP,1584926823,66,34.67,138.95,59.0,17.22
485,Ylivieska,100,FI,1584926824,73,64.08,24.55,30.99,5.99
486,Yerbogachën,100,RU,1584926824,79,61.28,108.01,33.89,19.3
487,Saldanha,58,ZA,1584926824,82,-33.01,17.94,59.0,8.05
488,Oodweyne,71,SO,1584926825,65,9.41,45.06,73.49,1.99
489,Iskateley,72,RU,1584926825,92,67.68,53.15,21.42,16.98
490,Abbeville,0,FR,1584926825,55,50.1,1.83,39.2,12.75
491,Ballina,90,AU,1584926826,65,-28.87,153.57,80.6,16.11
492,Utrera,24,ES,1584926826,87,37.19,-5.78,53.6,2.24
493,Milevsko,0,CZ,1584926828,81,49.45,14.36,26.01,6.26
494,Freetown,47,SL,1584926544,72,8.48,-13.23,77.27,2.42
495,Petra,0,JO,1584926828,51,30.32,35.48,47.34,4.03
496,Tacuarembó,0,UY,1584926829,49,-31.73,-55.98,66.06,6.38
497,Alta Floresta,38,BR,1584926829,93,-9.88,-56.09,73.67,1.54
498,Santa Cruz Cabrália,75,BR,1584926770,94,-16.28,-39.02,75.2,5.82
499,Okegawa,75,JP,1584926830,39,36.0,139.56,52.0,9.17
500,Jumla,12,NP,1584926834,67,29.27,82.18,29.57,5.01
501,Kupang,75,ID,1584926788,78,-10.17,123.58,82.4,3.36
502,Grodków,10,PL,1584926834,58,50.7,17.38,26.01,5.82
503,Boquira,86,BR,1584926834,77,-12.82,-42.73,74.52,2.37
504,Pacific Grove,90,US,1584926835,63,36.62,-121.92,62.6,10.29
505,Catalão,39,BR,1584926835,95,-18.17,-47.95,67.73,1.03
506,Bedford,0,GB,1584926835,85,52.13,-0.47,41.0,9.17
507,Witbank,52,ZA,1584926835,83,-25.87,29.23,57.47,4.56
508,Savelugu,100,GH,1584926836,53,9.62,-0.83,85.73,14.47
509,Santiago del Estero,0,AR,1584926836,40,-27.8,-64.26,78.3,8.23
510,Hirara,75,JP,1584926836,83,24.8,125.28,73.4,8.05
511,Neftçala,64,AZ,1584926837,81,39.37,49.25,49.68,14.18
512,Mūdbidri,0,IN,1584926837,94,13.08,74.98,75.2,4.7
513,Illapel,0,CL,1584926837,68,-31.63,-71.17,53.46,2.3
514,Talara,0,PE,1584926838,83,-4.58,-81.27,76.86,9.26
515,Cabedelo,20,BR,1584926838,88,-6.98,-34.83,78.8,3.36
516,Yārāda,75,IN,1584926838,94,17.65,83.27,75.2,2.24
517,Sørland,87,NO,1584926839,71,67.67,12.69,41.22,23.42
518,Okhotsk,91,RU,1584926839,76,59.38,143.3,13.55,12.84
519,Paka,40,MY,1584926840,94,4.64,103.44,77.0,3.65
520,Adrar,52,MR,1584926843,27,20.5,-10.07,64.13,11.68
521,San Vicente,0,AR,1584926843,69,-26.62,-54.13,69.35,2.62
522,Kirgiz-Miyaki,100,RU,1584926844,94,53.63,54.8,21.42,14.94
523,Funtua,80,NG,1584926844,38,11.52,7.31,78.66,3.24
524,Babu,76,CN,1584926844,89,24.42,111.52,70.92,2.19
525,Tura,0,IN,1584926844,62,25.52,90.22,64.98,1.92
526,Maïné Soroa,84,NE,1584926846,13,13.21,12.02,82.44,7.54
527,Arrondissement de Saint-Denis,0,FR,1584926847,48,48.92,2.33,42.01,8.05
528,Lizzano,75,IT,1584926848,71,40.39,17.45,57.2,12.75
529,Rengāli,0,IN,1584926848,88,21.63,84.05,68.0,2.01
530,Nizhniy Odes,30,RU,1584926848,96,63.64,54.86,10.98,5.35
531,Nardaran,90,AZ,1584926849,87,40.56,50.01,50.0,6.93
532,Namie,75,JP,1584926850,39,37.48,141.0,52.0,19.46
533,Vieques,40,PR,1584926850,78,18.43,-65.83,77.0,14.99
534,Mpika,99,ZM,1584926850,97,-11.83,31.45,63.59,8.23
535,Lockhart,1,US,1584926850,64,28.62,-81.44,79.0,8.05
536,Saint-Ambroise,5,CA,1584926850,65,48.55,-71.33,10.0,5.82
537,Yangi Marg`ilon,100,UZ,1584926851,71,40.43,71.72,51.8,4.7
538,Wawa,82,NG,1584926851,55,9.9,4.42,85.91,11.16
539,Honāvar,6,IN,1584926851,96,14.28,74.45,69.12,3.22
540,Shaoguan,59,CN,1584926852,88,24.8,113.58,71.46,1.03
541,‘Āhuimanu,90,US,1584926852,73,21.44,-157.84,80.6,13.87
542,Laives,20,IT,1584926854,79,46.42,11.33,30.99,4.7
543,Paamiut,100,GL,1584926855,89,61.99,-49.67,17.46,27.22
544,Westport,40,US,1584926856,59,41.14,-73.36,39.0,12.75
545,Talakan,76,RU,1584926856,87,50.32,130.37,18.36,5.84
546,St. Pete Beach,20,US,1584926857,83,27.73,-82.74,75.99,8.05
547,Orotina,32,CR,1584926858,49,9.91,-84.52,73.4,14.99
548,Copiapó,0,CL,1584926858,67,-27.37,-70.33,62.6,8.05
549,Saint George,1,US,1584926859,38,37.1,-113.58,62.01,4.7
550,Karratha,90,AU,1584926859,72,-20.74,116.85,85.19,4.9
551,Katherine,43,AU,1584926859,45,-14.47,132.27,87.8,5.82
552,Hargeisa,98,SO,1584926859,64,9.56,44.06,71.46,1.25
553,Erzin,40,TR,1584926860,81,36.96,36.2,53.01,3.36
554,Abhā,20,SA,1584926860,82,18.22,42.51,57.2,4.7
555,Uporovo,98,RU,1584926861,90,56.31,66.27,18.41,3.36
556,Svatove,100,UA,1584926865,89,49.41,38.15,27.41,16.06
557,Ciudad del Carmen,5,MX,1584926865,78,18.63,-91.83,80.6,9.17
558,Erenhot,0,CN,1584926865,33,43.65,111.98,40.01,8.5
559,Bridgetown,40,BB,1584926659,74,13.1,-59.62,78.8,17.22
560,Puerto Limón,20,CR,1584926867,74,10.0,-83.03,82.4,8.05
561,Pingliang,51,CN,1584926867,82,35.54,106.69,41.63,3.06
562,Manokwari,100,ID,1584926867,80,-0.87,134.08,77.45,5.32
563,Gijón,90,ES,1584926869,93,43.54,-5.66,54.0,3.36
564,Grajaú,100,BR,1584926869,94,-5.82,-46.14,73.13,2.35
565,Mingshui,0,CN,1584926769,45,36.72,117.5,52.38,6.08
566,Vila Velha,90,BR,1584926870,88,-20.33,-40.29,75.2,10.29
567,Nishihara,75,JP,1584926870,78,26.18,127.76,75.2,8.05
568,Vila do Maio,20,CV,1584926871,73,15.13,-23.22,69.8,18.34
